NAME,YEAR,THEME,Number of unique parts,Number of parts,UNIQUENESS
Glider,2012,Airport,0,56,0.000000
Train Wheels,1977,Train,0,2,0.000000
Advent Calendar 2007 Belville (Day  2) Bed,2007,Belville,0,7,0.000000
"Advent Calendar 2012, Star Wars (Day 12) - Hoth Rebel Trooper",2012,Star Wars,0,6,0.000000
Hero Factory Promo,2014,Hero Factory,0,19,0.000000
Grapes,2007,Creator,0,5,0.000000
Fire Trucks,1978,Building Set with People,0,41,0.000000
Supersonic RC,2003,Radio Control,0,79,0.000000
Advent Calendar 1999 (Day 12) Hippo,1999,Advent Sub-Set,0,6,0.000000
"Flags, Trees and Road Signs",1972,Supplemental,0,11,0.000000
Fork Lift Truck and Trailer,1972,Construction,0,19,0.000000
Tipper Truck,1974,Construction,0,12,0.000000
Police Jet Ski,2005,Police,0,18,0.000000
"Dash, Mission Deep Sea, Chupa Chups Promotional",2003,Mission Deep Sea,0,8,0.000000
Locomotive Green Bricks,2001,My Own Train,0,30,0.000000
Trade Federation MTT,2007,Star Wars Episode 1,0,152,0.000000
Sea Riders,2003,Designer Sets,0,120,0.000000
1 x 6 Black Bricks,2000,Bulk Bricks,0,1,0.000000
1 x 8 Black Bricks,2000,Bulk Bricks,0,1,0.000000
Hagrid's Hut (2nd edition),2004,Prisoner of Azkaban,0,91,0.000000
Rally Rider,2007,Tiny Turbos,0,21,0.000000
Tractor & Trailer,1964,Farm,0,21,0.000000
Monster Truck,2014,City,0,39,0.000000
Battery Box,1977,Service Packs,0,1,0.000000
Road & Trail 4x4,1988,Off-Road,0,36,0.000000
Santa Claus,1986,Christmas,0,11,0.000000
"LEGO Store Grand Opening Exclusive Set, Berlin, Germany",2009,LEGO Brand Store,0,22,0.000000
Large Bulk Bucket,1997,Basic Set,0,12,0.000000
Chassis Pack,2000,Supplemental,0,48,0.000000
Halloween Bucket,2003,Seasonal,0,20,0.000000
Dune Duster / Hawaiian Beach Racer,1996,Off-Road,0,38,0.000000
Advent Calendar 2014 City (Day 18) Policeman with Cup and Handcuffs,2014,City,0,6,0.000000
TIE Advanced Prototype,2016,Star Wars Rebels,0,38,0.000000
Advent Calendar 2009 Pirates (Day  3) - Parrot on Perch,2009,Pirates,0,6,0.000000
FIRST LEGO League Challenge 2013 - Nature's Fury,2013,FIRST LEGO League,0,187,0.000000
Mobile Crane,1974,Construction,0,24,0.000000
The Dungeon,2015,Minecraft,0,63,0.000000
Advent Calendar 2011 City (Day 20) Orange Snowmobile,2011,City,0,6,0.000000
Firemen,1983,Supplemental,0,8,0.000000
Shipwreck Defense,2015,Pirates III,0,58,0.000000
1 x 1 x 2 Window Frame,1961,Supplemental,0,1,0.000000
Fire Truck,1988,Fire,0,39,0.000000
Promo Basic Set,1982,Basic Set,0,17,0.000000
Pneumatic T-Pieces (Pack of 25),2002,Technic,0,1,0.000000
Replacement 2-Piece Battery Motor Housing,1987,Service Packs,0,2,0.000000
Blue Tub,2005,Basic Set,0,11,0.000000
Scorpion Tracker,1998,Desert,0,27,0.000000
Jeep,2006,Creator,0,18,0.000000
Animal Allies,2016,FIRST LEGO League,0,220,0.000000
Swamp Police Helicopter,2015,Police,0,31,0.000000
X-wing Fighter & TIE Advanced - Mini,2003,Mini,0,26,0.000000
Connector Pegs with Axles (Pack of 100),2002,Technic,0,1,0.000000
"Faces, Fences, Wheels and Windows",2000,Supplemental,0,20,0.000000
What Am I?,2016,Other,0,76,0.000000
ADU Jetpack,2011,Alien Conquest,0,16,0.000000
"Slopes and Slopes Double 2 x 4, Red (The Building Toy)",1966,Supplemental,0,2,0.000000
Mini Robot,1993,Space Police II,0,24,0.000000
Locomotive Black Bricks,2001,My Own Train,0,30,0.000000
Wheels and Tires,1973,Supplemental,0,5,0.000000
Arctic Outpost,2014,Arctic,0,143,0.000000
"Advent Calendar 2014, Friends (Day 5) - Holiday Window Scene",2014,Friends,0,9,0.000000
Dragster,1999,Race,0,18,0.000000
Squid Ammo,2007,Supplemental,0,1,0.000000
Race and Chase,1998,Race,0,25,0.000000
Lego System Road Plates,1998,Town,0,4,0.000000
Lewa,2001,Toa,0,22,0.000000
Imperial Guard Camp,1994,Pirates,0,20,0.000000
Volcano Climber,2000,RoboRiders,0,15,0.000000
Truck,2004,Traffic,0,110,0.000000
Nokama (Kabaya Promotional),2001,Turaga,0,16,0.000000
Storage Box - Red,1972,Supplemental,0,1,0.000000
Freestyle Set,1995,Freestyle,0,39,0.000000
Traitor Transport,1997,Fright Knights,0,71,0.000000
"LEGO Store Grand Opening Exclusive Set, Chinook Centre, Calgary, AB, Canada",2010,LEGO Brand Store,0,32,0.000000
Advent Calendar 2005 City (Day 21) Pizza Chef,2005,City,0,5,0.000000
"Advent Calendar 2014, Friends (Day 14) - Goblets and Food",2014,Friends,0,5,0.000000
Brick Tub 'Die Lego Show' - Limited Edition,2008,Basic Set,0,77,0.000000
Cannon Battle,2009,Pirates II,0,35,0.000000
Krekka,2004,Titans,0,61,0.000000
12V Train Light Posts,1983,12V,0,11,0.000000
"Advent Calendar 2013, Star Wars (Day 15) - Geonosian Warrior",2013,Star Wars,0,3,0.000000
Coast Guard Helicopter,2013,Coast Guard,0,111,0.000000
"Bricks, Yellow",1987,Service Packs,0,11,0.000000
City People,1992,Supplemental,0,25,0.000000
"Advent Calendar 2012, Star Wars (Day 21) - Super Battle Droid",2012,Star Wars,0,3,0.000000
Advent Calendar 2014 Star Wars (Day 19) - Holiday Speeder Bike,2014,Star Wars,0,12,0.000000
Universal Building Set,1982,Universal Building Set,0,48,0.000000
EV3 Track Rubber Elements,2015,Educational and Dacta,0,1,0.000000
Rocka,2013,Heroes,0,24,0.000000
TECHNIC Motor,2003,Technic,0,9,0.000000
Easter Chicks,2010,Easter,0,5,0.000000
Complete Children's Room Set,1972,Homemaker,0,21,0.000000
Car Transport Depot,1986,12V,0,89,0.000000
Coca-Cola Forward 3,2002,Soccer,0,4,0.000000
"Rubber Wheel Rims, Grey",1987,Train,0,1,0.000000
River Raft,1999,Jungle,0,18,0.000000
Yoda,2002,Star Wars,0,53,0.000000
Advent Calendar 2005 Clikits (Day 18) Bracelet,2005,Clikits,0,3,0.000000
Batman in the Phantom Zone polybag,2016,Batman,0,23,0.000000
"Advent Calendar 2013, Star Wars (Day 13) - Battle Droid",2013,Star Wars,0,5,0.000000
"60024 Advent Calendar 2013, City (Day 17)",2013,City,0,7,0.000000
Magnet Set CW Yoda 2009,2009,Gear,0,15,0.000000
Castle Figures,1983,Classic Castle,0,11,0.000000
Castle Equipment,1989,Castle,0,19,0.000000
Advent Calendar 2011 Star Wars (Day  5) - Boba Fett's Slave I,2011,Star Wars,0,12,0.000000
King's Catapult,1991,Crusaders,0,22,0.000000
2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,Bulk Bricks,0,1,0.000000
Lego Tree Holiday Bauble,2013,Creator,0,12,0.000000
"Turntables, 4 x 4 and 2 x 2",1987,Service Packs,0,4,0.000000
Vintage Minifigure Collection Vol. 3 - 2012 Edition,2012,Collectible Minifigures,0,16,0.000000
Large Bucket,1991,Basic,0,26,0.000000
"Diesel Freight Train Set, battery",1980,4.5V,0,84,0.000000
"LEGO Store Grand Re-opening Exclusive Set, Mall of America, Bloomington, MN",2010,LEGO Brand Store,0,30,0.000000
Rover,2001,Life On Mars,0,18,0.000000
Deluxe Brick Box,2006,Basic Set,0,70,0.000000
Future Car,1997,Off-Road,0,80,0.000000
Coast Guard Platform,2008,Coast Guard,0,153,0.000000
Power Pack,1991,Supplemental,0,32,0.000000
"Baseplates, Red and Blue",1978,Supplemental,0,1,0.000000
Corner Deli,2016,Creator,0,95,0.000000
Around the World,2016,Duplo,0,58,0.000000
LEGO® DIMENSIONS™ Xbox 360 Starter Pack,2015,Dimensions,0,92,0.000000
1 x 6 Black Plates,2000,Bulk Bricks,0,1,0.000000
Hover Hunter,2014,Ninjago,0,52,0.000000
LEGO® Legends of Chima™ Cragger Key Chain,2013,Key Chain,0,4,0.000000
2 x 2 Red Bricks,2000,Bulk Bricks,0,1,0.000000
Gear Supplementary Set,1970,Gears,0,10,0.000000
Big Bling Wheelie,2005,Tiny Turbos,0,16,0.000000
Advent Calendar 2011 Star Wars (Day 4) - Separatist Spider Droid,2011,Star Wars,0,7,0.000000
Skeleton Crew,1996,Pirates I,0,24,0.000000
Green Creative Box,2017,Classic,0,26,0.000000
Better Building More Fun,2004,Basic Set,0,37,0.000000
Biplane,2015,Pick A Model,0,13,0.000000
The Skating Princess,2007,Fairy-Tale,0,17,0.000000
Police Motorcycle,1985,Police,0,11,0.000000
Duck,2016,Duplo,0,4,0.000000
Gears 8- and 10-Tooth,1994,Technic,0,2,0.000000
Styling Pack,2000,Supplemental,0,57,0.000000
Clikits Bracelet Daisy,2004,Clikits,0,7,0.000000
Imperial Cannon,1994,Pirates,0,28,0.000000
Master Builder Set,2002,Bionicle,0,45,0.000000
Space Plane,1998,UFO,0,15,0.000000
"60024 Advent Calendar 2013, City (Day 14)",2013,City,0,5,0.000000
Masks,2001,Toa,0,3,0.000000
1x4 Lighing Brick and 4 Colour Globes,1987,Service Packs,0,2,0.000000
Dunkan Bulk,2010,Heroes,0,11,0.000000
Apatosaurus,2004,Designer Sets,0,15,0.000000
Green Arrow - San Diego Comic-Con 2013 Exclusive,2013,Justice League,0,1,0.000000
Helicopter and Raft,2008,Harbor,0,60,0.000000
Wiz the Wizard,1995,Castle,0,16,0.000000
200 + 40 Special Elements,2007,Supplemental,0,35,0.000000
1926 Renault,1975,Hobby Sets,0,33,0.000000
Ricky Racoon on his Scooter,1979,Fabuland,0,2,0.000000
2 x 2 & 2 x 4 Curved Bricks,1956,Supplemental,0,2,0.000000
Star Hawk II,1995,Unitron,0,79,0.000000
Kohrak Va,2002,Bohrok Va,0,18,0.000000
Police Car,2017,Police,0,28,0.000000
Sea Mates,1993,Pirates I,0,29,0.000000
Camillot,2016,Series 7,0,33,0.000000
Green City,2011,Mindstorms,0,143,0.000000
Championship Challenge II,2002,Soccer,0,65,0.000000
Manual Level Crossing,1991,9V,0,42,0.000000
Straight Rails,1991,9V,0,1,0.000000
1 x 16 Beams,2002,Technic,0,1,0.000000
Millennium Falcon ,2016,Star Wars,0,24,0.000000
Advent Calendar 2009 Pirates (Day 19) - Pirate,2009,Pirates,0,4,0.000000
Nui-Rama,2001,Rahi,0,30,0.000000
Advent Calendar 2000 (Day 18) Hovercraft,2000,Advent Sub-Set,0,8,0.000000
Tacho Wheels (Pack of 20),2002,Technic,0,1,0.000000
Mini-Sonic,1998,Znap,0,8,0.000000
Bonnie Rabbit's Flower Truck,1983,Fabuland,0,8,0.000000
Postal Container Wagon Covered,1983,Train,0,43,0.000000
Police Headquarters,2002,Police,0,125,0.000000
Advent Calendar 2003 Creator (Day 16) Reindeer,2003,Creator,0,9,0.000000
Jedi Defense II,2002,Star Wars Episode 1,0,28,0.000000
Frost + Dust (8511 + 8513),2000,RoboRiders,0,33,0.000000
Medium Blue Storage Bin (16.5in x 12in x 6in),2007,Supplemental,0,1,0.000000
LEGO SERIOUS Play mini-kit,2011,Educational and Dacta,0,34,0.000000
Moon Landing,1975,Space,0,42,0.000000
Space Hover,1999,UFO,0,17,0.000000
Christmas Tree Ornament,2015,Promotional,0,12,0.000000
Transformation Kit Dirt Crusher (Red),2005,Supplemental,0,12,0.000000
Gas N' Wash Express,2001,Station,0,121,0.000000
Rescue Units,1973,Hospital,0,18,0.000000
Pet Shop,2011,Modular Buildings,0,205,0.000000
Aquacessories,1996,Supplemental,0,18,0.000000
Yellow and Black Racer,2006,Tiny Turbos,0,13,0.000000
Random Special Pieces,1992,Technic,0,10,0.000000
Easter Bunny,2000,Easter,0,16,0.000000
Olivia’s Tree House,2012,Friends,0,63,0.000000
AT-AT Walker - Mini,2010,Star Wars Episode 4/5/6,0,32,0.000000
Wheels Set,2007,Supplemental,0,7,0.000000
Brick Separator,1990,Service Packs,0,1,0.000000
Nuhvok,2002,Bohrok,0,20,0.000000
Train Sliding Wheel Blocks,1977,Train,0,1,0.000000
Mini Black Pearl,2011,Pirates of the Caribbean,0,18,0.000000
Wave Saver,1998,Res-Q,0,17,0.000000
"Advent Calendar 2014, Friends (Day 9) - Holiday Candle",2014,Friends,0,5,0.000000
Freight Steam Train,1983,12V,0,92,0.000000
Knights' Castle Wall,2004,Knights Kingdom II,0,63,0.000000
Red Bricks,1973,Supplemental,0,6,0.000000
"Advent Calendar 2013, Star Wars (Day 20) - Jedi Starfighter",2013,Star Wars,0,8,0.000000
EV3 Ultrasonic Sensor,2013,EV3,0,1,0.000000
Buildings,2004,Creator,0,67,0.000000
Police Van,1981,Police,0,37,0.000000
"International Flags - Italy, Switzerland, Belgium, Germany, Netherlands",1961,Supplemental,0,5,0.000000
Crane Truck,1999,Traffic,0,18,0.000000
Trick Or Treat,2015,Friends,0,15,0.000000
Fire Chief,2010,Fire,0,19,0.000000
9V Basic Motor,1992,Service Packs,0,1,0.000000
Kitchen Set,1974,Homemaker,0,38,0.000000
Fright Knights Catapult Cart,1998,Fright Knights,0,19,0.000000
2 x 2 Bricks (System),1966,Supplemental,0,1,0.000000
ATV Patrol,2015,Police,0,37,0.000000
Riding Stables,1997,Recreation,0,65,0.000000
Train Couplers and Wheels (System),1966,Supplemental,0,4,0.000000
Open Freight Wagon (White Box),2002,My Own Train,0,26,0.000000
Circus Tiger Polybag,2013,Duplo,0,3,0.000000
Basic Blue Bucket,2009,Basic Set,0,62,0.000000
"AT-AT, black box",2003,Star Wars Episode 4/5/6,0,164,0.000000
QUICK Good Guy Red,2006,Bionicle,0,14,0.000000
Street Sprinter vs. Mutant Lizard,2005,Dino Attack,0,23,0.000000
Demolition Site,2017,Juniors,0,68,0.000000
Ultimate Accessory Set 500,2006,Supplemental,0,101,0.000000
Volcano Starter Set,2016,City,0,54,0.000000
LEGO Stores Easter Chick for 2004,2004,Easter,0,7,0.000000
Kylo Ren's Command Shuttle,2016,Star Wars Episode 7,0,21,0.000000
Train with 5 Wagons and Circle of Track,1972,4.5V,0,49,0.000000
Magnets and Magnet Holders,1996,Service Packs,0,3,0.000000
Ghost,2012,Monster Fighters,0,18,0.000000
Lego Ninjago: Build Your Own Adventure,2015,Ninjago,0,37,0.000000
Dirt Crusher RC,2004,Radio Control,0,23,0.000000
Pulleys (For micromotor pack of 10),2002,Technic,0,1,0.000000
2x2 Electrical Plate,2002,Bulk Bricks,0,1,0.000000
Advent Calendar 1998 Classic Basic (Day  8) Airplane,1998,Classic Basic,0,7,0.000000
Differentials,1998,Technic,0,3,0.000000
Fisherman - Complete Set,2011,Series 3 Minifigures,0,9,0.000000
"Advent Calendar 2014, Friends (Day 19) - Sofa",2014,Friends,0,7,0.000000
Nuhvok Va,2002,Bohrok Va,0,17,0.000000
Coca-Cola Forward 4,2002,Soccer,0,4,0.000000
Red Plates 1 x n,2002,Bulk Bricks,0,8,0.000000
Kraata,2003,Supplemental,0,1,0.000000
Minifig Pack,1988,Supplemental,0,16,0.000000
LEGO® Star Wars™ Stormtrooper™ Magnet,2013,Gear,0,5,0.000000
Small Tires,1995,Technic,0,2,0.000000
Container Truck,2014,Technic,0,97,0.000000
Bird,1994,Basic Model,0,5,0.000000
Advent Calendar 2002 Creator (Day 18) Space Shuttle,2002,Creator,0,8,0.000000
Iris,1999,Fairy-Tale,0,5,0.000000
Highway Haulers,2006,Model,0,51,0.000000
Ocean Odyssey,2005,Designer Sets,0,138,0.000000
Blast Off Chopper with Bungee Cord Power!,1998,Competition,0,31,0.000000
Cannons and Wheels,1995,Service Packs,0,5,0.000000
Cars and Planes,1998,Freestyle,0,72,0.000000
Danone Promotional Set: Girl,1998,Basic Model,0,8,0.000000
Skeleton Mummy Battle Pack,2011,Pharaoh's Quest,0,15,0.000000
Fire and Rescue Van,1981,Fire,0,28,0.000000
Blue Sprinter,2009,Power Racers,0,52,0.000000
Adventure Vehicles,2015,Creator,0,77,0.000000
Skateboarder Bill Chupa Chups Promotional,2003,Gravity Games,0,6,0.000000
Gorzan Polybag,2015,Legends of Chima,0,7,0.000000
Advent Calendar 1998 Classic Basic (Day  2) Santa,1998,Classic Basic,0,5,0.000000
"Roof Bricks Assorted, Black",1999,Service Packs,0,9,0.000000
Story Starter (Sample Set),2014,Educational and Dacta,0,21,0.000000
1 x 4 x 3 Train Window Clear,2000,Bulk Bricks,0,1,0.000000
LEGO Easter Bunny,2014,Easter,0,36,0.000000
Decorated Elements,1987,Service Packs,0,18,0.000000
Girl,1994,Basic Model,0,3,0.000000
Ultrarex (8504 + 8505 + 8506 + 8507),1999,Throwbot Slizer,0,23,0.000000
Small Blue Bucket,2002,Basic Set,0,23,0.000000
Krog,2015,Series 5,0,30,0.000000
Transparent Bricks,2002,Bulk Bricks,0,1,0.000000
Tow Truck,2014,City,0,96,0.000000
Arctic Scout,2014,Arctic,0,26,0.000000
Christmas Train,2012,Christmas,0,24,0.000000
Go-Cart,1999,Race,0,16,0.000000
Brick Separator Orange,2012,Service Packs,0,1,0.000000
Kai Drifter,2015,Ninjago,0,26,0.000000
Piano,1973,Homemaker,0,17,0.000000
Dual FX Racers,1990,Race,0,42,0.000000
Mini Sopwith Camel,2012,Creator,0,24,0.000000
Heart 2009,2009,Valentine,0,12,0.000000
Sabah Promotional Set: Swamp Boat,1997,Basic Model,0,7,0.000000
Black and Red Racer,2006,Tiny Turbos,0,13,0.000000
Point Shooting,2001,Soccer,0,12,0.000000
Bricktober Hotel,2015,Bricktober,0,30,0.000000
Advent Calendar 2014 City (Day 10) Small Catapult,2014,City,0,5,0.000000
Truck with Trailer,1965,Traffic,0,13,0.000000
Basic Building Set,2000,Classic Basic,0,15,0.000000
Fairground Mixer,2014,Creator,0,287,0.000000
75th Anniversary Duck on Wheels,2007,Other,0,18,0.000000
Holocron Droid,2013,Star Wars,0,16,0.000000
Road Signs,1980,Supplemental,0,10,0.000000
Fireman,2005,Fire,0,16,0.000000
Assortment of Plate Pieces,1992,Technic,0,18,0.000000
Large Tire and Hub (2 tires 2 hubs),2002,Service Packs,0,2,0.000000
"Sloping Ridge and Valley Bricks, Red",1957,Supplemental,0,5,0.000000
Small Bucket,1990,Basic,0,22,0.000000
Windows and Doors,1955,Supplemental,0,6,0.000000
Excavator Transporter,2012,Construction,0,110,0.000000
Fire Chief's Car,1988,Fire,0,19,0.000000
2 x 2 Plates - White (architectural hobby und modelbau version),1962,Architecture,0,3,0.000000
Power Functions Servo Motor,2013,Power Functions,0,1,0.000000
Fireman's Car,2009,Fire,0,24,0.000000
Black Plates 1 x n,2002,Bulk Bricks,0,8,0.000000
Police Starter Set,2017,Police,0,58,0.000000
TIE Fighter - Mini,2003,Mini,0,6,0.000000
Police ATV,2014,Police,0,26,0.000000
Advent Calendar 2009 City (Day 17) Wheelbarrow and Snowballs,2009,City,0,9,0.000000
Go-Cart,1995,Race,0,13,0.000000
F6 Truck,2005,Tiny Turbos,0,22,0.000000
LEGO® DC Universe™ Super Heroes Batman™ Magnet,2013,Gear,0,1,0.000000
Motor Wires,1984,Service Packs,0,1,0.000000
Racing Car,1976,Factory,0,22,0.000000
Decorated Elements,1994,Service Packs,0,27,0.000000
Special Masks! - 2 (Dark) Copper Color Kanohi (Legoland Billund),2001,Bionicle,0,2,0.000000
Antique Car,1967,Traffic,0,17,0.000000
Mini Backhoe Loader,2013,Construction,0,58,0.000000
"Advent Calendar 2013, City (Day 12)",2013,City,0,7,0.000000
Indy Storm / Formula 1 Racer,1999,Race,0,87,0.000000
Trick or Treat,2015,Halloween,0,53,0.000000
Fast Car,2016,Creator,0,76,0.000000
Advent Calendar 2002 Creator (Day 16) Police Boat,2002,Creator,0,9,0.000000
Ambulance,2006,Hospital,0,50,0.000000
Crater Cruiser,1995,Unitron,0,73,0.000000
Mandalorian Fighter,2013,Star Wars Clone Wars,0,22,0.000000
Town Folks,1998,Supplemental,0,32,0.000000
Ha-Ya-To Walker,2007,Exo-Force,0,14,0.000000
Baby Dimetrodon (Polybag),2001,Dinosaurs,0,13,0.000000
Small building plates,2012,Educational and Dacta,0,3,0.000000
Bulldozer,2014,Construction,0,84,0.000000
Mining Truck,2015,Construction,0,68,0.000000
Freight and Crane Railway,1996,9V,0,140,0.000000
Trial Size Imagination,1993,Basic,0,5,0.000000
Trike Buggy,1999,Riding Cycle,0,16,0.000000
Cypress Trees,2001,Bulk Bricks,0,1,0.000000
Train Windows with Panes Blue,2000,Bulk Bricks,0,2,0.000000
Connectors & Bushings,1998,Technic,0,8,0.000000
Go-Cart,1986,Race,0,58,0.000000
Advent Calendar 2008 Castle  (Day 2) - Brick Arch with Flag and Shield,2008,Castle,0,8,0.000000
Jedi Starfighter & Vulture Droid,2005,Star Wars Episode 3,0,81,0.000000
Mixed Plates Parts Pack,1955,Supplemental,0,5,0.000000
Replacement Rubber Wheel Treads for Trains,1981,Train,0,1,0.000000
Ant,1999,Znap,0,32,0.000000
TIE Fighter,2014,Star Wars Other,0,6,0.000000
Fire Chief Barty Bulldog,1987,Fire,0,8,0.000000
Special Value,1995,Supplemental,0,10,0.000000
"Windows and Door with Glass, Red",1956,Supplemental,0,10,0.000000
Stagecoach,1976,Factory,0,26,0.000000
Advent Calendar 2009 City (Day 18) Fountain,2009,City,0,7,0.000000
Robo Technology Set [Serial Cable],2003,Technic,0,67,0.000000
Free 500 LEGO Bricks (Bonus box and its contents only),2005,Supplemental,0,94,0.000000
Little Helicopter,2013,Creator,0,21,0.000000
Volcano Jackhammer,2016,City,0,38,0.000000
TIE Fighter,2005,Star Wars Episode 4/5/6,0,48,0.000000
Ferocious Creatures,2010,Model,0,70,0.000000
Advent Calendar 2000 (Day 20) Jet,2000,Advent Sub-Set,0,8,0.000000
Helicopter Transport,1998,Police,0,46,0.000000
Skateboarding Pepper,2002,Island Xtreme Stunts,0,11,0.000000
"Building My SG - Reflect, Celebrate, Inspire",2015,Learning,0,41,0.000000
Wish Fountain,2015,Friends,0,22,0.000000
Picnic Set,2015,Friends,0,14,0.000000
LEGO Friends Buildable Jewelry Box,2014,Friends,0,35,0.000000
The Ghost,2017,Star Wars Rebels,0,21,0.000000
Ice Prison,2014,Legends of Chima,0,14,0.000000
Brutaka,2006,Titans,0,54,0.000000
Winter Holiday Train,2016,Christmas,0,195,0.000000
FIRST LEGO League Challenge 2001 - Arctic Impact,2001,FIRST LEGO League,0,62,0.000000
Cosmic Fleet Voyager,1986,Classic Space,0,106,0.000000
Guitar And Stage,2015,Friends,0,14,0.000000
Goal Keeper,2000,Soccer,0,20,0.000000
WeDo 2.0 Add-On Power Pack,2016,WeDo,0,2,0.000000
Sand Baseplate,2015,Classic,0,1,0.000000
Kitten foil pack,2016,Friends,0,14,0.000000
Angle Sensor,1995,Technic,0,1,0.000000
The Twilight - Limited Edition,2008,Star Wars Clone Wars,0,198,0.000000
Toa Hordika Vakama,2005,Toa Hordika,0,27,0.000000
Small Wheels with Axles (The Building Toy),1966,Supplemental,0,5,0.000000
1909 Rolls-Royce,1976,Hobby Sets,0,30,0.000000
"Small Plates with Tool Holders, Disks, Cones",1993,Service Packs,0,10,0.000000
Special Elements for Control Lab Set,2001,Technic,0,51,0.000000
{Power Miners Promotional Polybag},2009,Power Miners,0,3,0.000000
Gravel Quarry,1974,Construction,0,51,0.000000
Flying Mummy Attack,2011,Pharaoh's Quest,0,64,0.000000
Holiday Ornament with Green Bricks,2011,Christmas,0,4,0.000000
TECHNIC parts,1987,Technic,0,3,0.000000
Shell Service Station,1971,Gas Station,0,17,0.000000
Race Boat,2016,City,0,49,0.000000
Sports Car,2016,City,0,26,0.000000
Advent Calendar 2004 Clikits (Day  2) Bracelet,2004,Clikits,0,4,0.000000
Kai Fighter,2014,Ninjago,0,83,0.000000
Paradisa Lifeguard,1996,Paradisa,0,31,0.000000
Pohatu - With mini CD-ROM,2001,Toa,0,25,0.000000
"LEGO Store Grand Opening Exclusive Set, Aventura Mall, Miami, FL",2010,LEGO Brand Store,0,26,0.000000
Spy-Trak 1,1989,Space Police I,0,67,0.000000
Max Security Transport,2009,Space Police III,0,92,0.000000
Lego Brickmaster Castle (Hardcover),2009,Books,0,66,0.000000
"Baseplate, Green",1980,Supplemental,0,1,0.000000
Valentine’s day,2016,Friends,0,15,0.000000
Lego City - Police on Alert!,2011,Books,0,17,0.000000
Alpha Team Aquatic Mech,2002,Mission Deep Sea,0,79,0.000000
FIRST LEGO League Challenge 2014 - World Class,2014,FIRST LEGO League,0,210,0.000000
Snap's Cruiser,2002,Island Xtreme Stunts,0,14,0.000000
"Angle, Valley and Corner Slopes, Blue (The Building Toy)",1966,Supplemental,0,5,0.000000
Red/Blue Beams,1985,Technic,0,4,0.000000
Dumper Lorry,1976,Construction,0,17,0.000000
Fun with Bricks {small red bucket},2002,Basic Set,0,15,0.000000
Double Tanker,1971,Gas Station,0,19,0.000000
Patrol Car,2012,Police,0,48,0.000000
Paradisa Barbeque,1997,Paradisa,0,17,0.000000
"Windows and Door with Glass, White",1956,Supplemental,0,10,0.000000
Lesovikk,2007,Warriors,0,51,0.000000
Camera Cart (Kabaya Promotional),2001,Studios,0,13,0.000000
Big Bat,1998,Ninja,0,12,0.000000
X-wing Fighter (re-release of 7140),2002,Star Wars Episode 4/5/6,0,99,0.000000
Stunt Go-Kart (Kabaya Promotional),2001,Studios,0,16,0.000000
Tiles (System),1966,Supplemental,0,3,0.000000
Cross Axles,1998,Technic,0,9,0.000000
Gigamesh G60,2002,Spybiotics,0,55,0.000000
Birthday Cake,2012,Seasonal,0,9,0.000000
1 x 2 Beams,2002,Technic,0,1,0.000000
Blizzard Blazer,1988,Traffic,0,28,0.000000
Alien Encounter,2001,Life On Mars,0,31,0.000000
Dungeon Hunters,1990,Crusaders,0,51,0.000000
Assortment of Gears,1992,Technic,0,7,0.000000
Rocket Launch Center,2011,City,0,154,0.000000
"AC Adapter, 120V - 10V Transformer",1996,NXT,0,1,0.000000
Two-Way Valve and Non-Return Valve,1987,Technic,0,2,0.000000
Blue Player & Goal,2004,Hockey,0,21,0.000000
Extra Soft Bricks,1999,Soft Bricks,0,4,0.000000
LEGO XXL Box,2010,Creator,0,40,0.000000
Auto Pod (Polybag),2004,X-Pod,0,20,0.000000
Robo Pod (Polybag),2004,X-Pod,0,20,0.000000
Ambulance,1970,Hospital,0,32,0.000000
Individual 2 x 2 Bricks,1950,Supplemental,0,1,0.000000
"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,My Own Creation,0,62,0.000000
Advent Calendar 2011 City (Day  2) Catapult,2011,City,0,6,0.000000
Tires,1992,Technic,0,2,0.000000
Advent Calendar 2005 Clikits  (Day 8) Magnet,2005,Clikits,0,3,0.000000
Vintage Minifigure Collection Vol. 5,2010,Collectible Minifigures,0,17,0.000000
Fiber Optic Cables,2000,Technic,0,1,0.000000
Power Truck,1981,Expert Builder,0,62,0.000000
LEGO Japan Dog,2005,Other,0,10,0.000000
Police Car,1978,Police,0,19,0.000000
King's Oarsmen,1987,Lion Knights,0,26,0.000000
4 Small Wheels with Accessories,1969,Supplemental,0,5,0.000000
LEGO Brand Store Opening Set,2015,LEGO Brand Store,0,65,0.000000
Public Works,2008,Traffic,0,18,0.000000
Roadster,1988,Race,0,40,0.000000
"Advent Calendar 2001, Creator (Day 20) Steamship",2001,Advent Sub-Set,0,6,0.000000
5 Sixteens and 4 Twenties (System),1966,Supplemental,0,2,0.000000
Battle Pack Troll Warriors,2009,Fantasy Era,0,16,0.000000
Atlantis Exploration HQ,2010,Atlantis,0,144,0.000000
Advent Calendar 2011 City (Day  4) Wall with Barred Window,2011,City,0,8,0.000000
Advent Calendar 2007 City (Day  4) Construction Worker and Pickaxe,2007,City,0,5,0.000000
Locomotive with Driver & Passenger,1974,Building Set with People,0,23,0.000000
